Boroughs,Year,All Pupils at the End of KS4 Achieving 5+ A* - C Including English and Mathematics,Boy Pupils at the End of KS4 Achieving 5+ A*-C Including English and Mathematics,Girl Pupils at the End of KS4 Achieving 5+ A*-C Including English and Mathematics,perc pupils free school meals,Rates of Children Looked After,perc of pupils whose first language is not English,Male Life Expectancy (3 year avg),Female Life Expectancy 3-year avg),Teenage Conception Rate,Life Satisfaction Score(out of 10),Worthwhileness Score (out of 10),Happiness Score (out of 10),Anxiety score (out of 10),Current Cigarette Smoker (%),Childhood Obesity Prevalance (%),People aged 17+ with diabetes (perc)
Hammersmith and Fulham,2013,60.5,57.5,63.7,33.19965779,72,45.94474436,79.7,84.1,21.3,7.39,7.53,7.09,3.33,21,22.449,4.312842721
Haringey,2013,59.7,56.3,62.9,28.6675895,93,51.38601036,80.1,84.9,20.9,7.31,7.66,7.29,3.2,19,22.8438,5.719333607
Harrow,2013,66.4,62,70.9,17.13548549,31,57.8699511,82.7,86.1,14.3,7.51,7.6,7.5,2.65,13,20.7968,8.179243316
Havering,2013,59.8,54.6,65.4,13.63211695,36,9.831288344,80.2,83.9,26.2,7.5,7.75,7.34,3.15,19,20.6148,5.730631581
Hillingdon,2013,62,58,66.5,16.95472197,55,39.64916741,80.4,83.9,23,7.46,7.83,7.41,2.96,16,19.835,6.433082338
Hounslow,2013,63.2,59.7,66.8,18.69738705,51,56.77380046,80,83.9,28.3,7.34,7.59,7.52,3.16,13,23.9085,6.279019578
Islington,2013,59.9,55.9,63.4,45.57438795,83,46.79355009,79,83.5,20.7,7.36,7.65,7.2,3.43,22,21.4469,4.895311219
Kensington and Chelsea,2013,68.7,x,x,28.03184282,36,53.16532258,83.3,86.4,19,7.7,7.9,7.6,3.11,18,21.25,4.26207736
Kingston upon Thames,2013,68.6,65.6,71.1,9.819519288,37,30.44132397,82,84.6,15.8,7.42,7.75,7.51,3.05,17,15.3629,4.803181148
Lambeth,2013,57.1,52.6,61.4,33.44375715,81,46.25089095,78.9,83.3,24.7,6.99,7.31,7.14,3.52,20,25.0525,4.711106899
Lewisham,2013,56.3,52.7,60.3,24.55662012,77,30.29995385,79,83.4,33.1,7.37,7.75,7.41,3.32,21,24.2889,5.674733386
Merton,2013,67.8,64.2,71.8,14.56547443,31,39.56028697,80.4,84.2,22.1,7.52,7.67,7.17,3.31,14,20.2809,5.368286946
Newham,2013,55.7,51.4,60,32.83620233,51,71.97233378,78.5,83,21.3,7.31,7.71,7.5,2.74,19,25.1324,7.146583918
Redbridge,2013,68.7,63.5,74,18.66394296,29,58.69865339,80.9,84.6,16.9,7.45,7.65,7.24,3.13,14,22.6764,7.531787732
Richmond upon Thames,2013,70.5,66.3,74.8,10.12851622,20,19.90969456,82.4,86,11.7,7.56,7.76,7.54,3,11,11.0585,3.685565075
Southwark,2013,61.2,57.8,65.3,28.95382848,93,41.89589905,78.9,83.9,30.6,7.56,7.72,7.27,3.47,21,26.6769,4.937084935
Sutton,2013,67.4,64.3,70.5,11.49251966,39,19.88920598,80.9,83.4,17.8,7.43,7.6,7.25,3.25,16,17.6836,5.707662791
Tower Hamlets,2013,59.2,53.9,64.4,46.42348667,53,72.96796944,78.1,82.5,18.7,7.46,7.63,7.45,3.21,19,25.1372,6.340157263
Waltham Forest,2013,58.3,53,63.8,23.30705125,44,50.26450255,79.4,83.8,21.8,7.3,7.57,7.11,3,18,23.3854,6.263230488
Wandsworth,2013,63,60,66.3,24.42249639,37,43.08788599,79.5,83.7,21.4,7.43,7.72,7.51,3.36,17,20.2825,4.245728892
Westminster,2013,65.7,62.8,69,38.34368723,50,66.40174197,82.3,86.3,9.6,7.5,7.57,7.11,3.18,19,25.641,4.327167507
