Boroughs;Year;% of economically active with NVQ4+ - working age;% of economically active with NVQ3 only - working age;% of economically active with Trade Apprenticeships - working age;% of economically active with NVQ2 only - working age;% of economically active with NVQ1 only - working age;% of economically active with other qualifications - working age;% of economically active with no qualifications - working age;Gross Annual Pay - Full Time - Total (£);Gross Annual Pay - Full Time - Male (£);Gross Annual Pay - Full Time - Female (£);Those who have done any voluntary work in the last 12 months (%);Number of active businesses;Two-year business survival rates;Number Employed - Total;Number Employed - Male;Number Employed - Female;Jobs Density;Crime Rates per thousand population;Fires per thousand population;Ambulance incidents per hundred population;Total Carbon Emissions;Household Waste Recycling Rate;Number of Licensed Vehicles;Traffic Flows;% of adults who cycle at least once per month;Road Casualties (Killed or Seriously Injured);% children living in out-of-work households;% of Children in Poverty,,,,,,,,,,,,,,,,
Barking and Dagenham;2012;44,9;13,8;2;13,1;10,4;9,7;6,1;29399;31976;25796;-;4580;73,4;54500;33700;20700;0,46;90,47019312;3,421494542;14,12258606;820,1144114;27;65155;557;9;47;30,5;30,2,,
Barnet;2012;52,4;11,6;1,5;10,8;8,6;9,1;6;34396;37484;30350;25,67882446;22110;69,8;153000;73000;80000;0,65;69,68974272;1,964523184;11,43737155;1587,78586;33;150799;1630;10;112;16,7;17,3,
Bexley;2012;36,7;16,8;3,7;16,9;12,5;6,7;6,7;26488;28817;22831;24,48879334;7390;75,4;77400;43100;34300;0,53;52,65269709;2,347708423;11,62969382;1098,559279;54;119850;900;8;55;19,0;18,0
Brent;2012;36,9;16,6;4;16,7;12,2;6,6;7;26095;28376;22619;-;13220;70,4;121900;68100;53800;0,57;86,63319138;2,049831564;12,78777093;1346,641537;43;105469;872;12;86;23,9;25,0,,,
Bromley;2012;100;!;!;!;!;!;!;54000;62511;41898;-;13425;76,9;120100;56600;63500;0,62;64,4766842;2,544294285;10,88824211;1378,465208;49;161396;1194;12;90;16,1;15,5,,,,,,,,
Camden;2012;29,8;15,2;3,4;19,2;12,7;11,6;8,2;33131;37018;24488;20,52970603;26460;69,3;342000;189800;152300;2,11;145,98021;2,720459455;15,68131507;1594,250943;31;58314;445;16;114;29,2;30,0
Croydon;2012;53,9;12,5;1,1;11,2;8,2;8,1;5;29594;32609;26522;33,17655799;13020;73,7;137700;74200;63500;0,58;84,33228694;2,578032238;13,66953476;1517,16934;44;148197;1147;12;107;22,7;22,2,
Ealing;2012;31,9;17,9;3,7;20,4;14;6,5;5,6;27440;30481;-;22,13447998;15065;73,5;147000;91900;55100;0,64;88,0703083;2,219149854;12,17919929;1590,799537;41;130960;1172;16;88;21,4;21,8,
Enfield;2012;46,8;17,8;0,8;10,5;4,5;11,3;8,3;27577;28535;25455;17,25858577;11280;73,7;116700;62800;54000;0,57;70,97990148;2,606473004;12,37523126;1412,23164;39;132543;1561;9;86;28,3;29,0
Greenwich;2012;49,7;16,9;1,7;11,6;11,5;4,8;3,8;28082;32645;24235;28,97258431;7665;71,2;79400;39600;39800;0,46;81,17107833;3,064583109;12,81933956;1096,26318;40;83301;1046;11;73;26,9;26,4
Hackney;2012;69,6;10,5;0,8;7,6;4,4;3,3;3,8;36962;39118;34266;21,9178877;12980;73,8;110900;61900;49000;0,62;110,2812561;2,958920192;12,35051702;906,3875347;24;49983;471;22;147;28,2;30,1
Hammersmith and Fulham;2012;44,3;18;1,5;14,1;11,6;7;3,5;28974;32062;25916;27,18704922;12270;69,2;145200;70700;74500;1,1;121,1120378;2,27411732;13,0558799;1013,203149;23;50680;500;24;80;25,3;26,0,,
Haringey;2012;52,9;12,7;1,6;12;6;7,8;7,1;31104;33430;24101;32,07985674;10330;71,3;77300;43900;33400;0,44;90,28936473;2,301940428;13,33426029;924,3416211;32;73281;532;16;107;26,6;26,9,,
Harrow;2012;42,4;14,1;1,2;13,4;12;11,8;5;27123;28725;25341;22,43595659;12375;74,6;78800;37700;41000;0,5;55,54569947;1,538924898;10,17382012;872,3677513;45;106491;579;7;46;15,9;17,0,,
Havering;2012;47,5;14,9;2,7;14,4;9;6,2;5,3;30097;30525;27922;17,41237408;8390;77;83800;35800;48000;0,56;68,65137465;2,214964148;12,59192518;1171,028156;35;124905;1474;10;78;19,4;18,5,,
Hillingdon;2012;60,3;8,7;!;10,9;7;7,6;4,9;34803;35504;32169;29,6391755;11020;74,2;211400;124900;86400;1,15;73,24067633;3,084228907;15,75263703;2059,788774;43;147885;2093;15;83;19,5;19,6,,
Hounslow;2012;67,8;11,6;1;5,7;4,8;6,1;3,1;35136;41764;32411;30,48189036;11505;74,2;158100;97200;60900;0,9;86,88989083;2,574772633;12,06167102;1481,030333;35;106250;1500;14;73;20,9;21,2,
Islington;2012;62,4;10,1;!;7,9;4,8;9,2;5,4;29116;29857;27798;29,84895126;15310;69;204500;113100;91300;1,3;132,0322014;2,6250077;14,52899117;1122,368455;31;44503;400;20;122;34,3;34,5,,
Kensington and Chelsea;2012;52,7;17,5;0,9;9,1;5,4;10,3;4,1;26738;30839;22690;38,87760719;12570;68,8;142200;69600;72600;1,3;133,6433015;2,180465594;12,92054127;1351,901918;26;51124;494;15;94;21,0;21,7
Kingston upon Thames;2012;24,1;21,5;4,1;21,1;15,5;8,7;5;28326;29352;27991;16,93825795;8060;79,1;80400;43300;37100;0,73;62,2185887;1,824216319;11,164936;778,3774261;46;73047;898;22;34;11,7;12,1,
